OID_;LOCATION;LOC_LABEL;CATEGORY;PATTERN;PERC_HOT;PERC_COLD;TREND_Z;TREND_P;TREND_BIN;SUM_VALUE;MIN_VALUE;MAX_VALUE;MEAN_VALUE;STD_VALUE;MED_VALUE;Shape_Length;Shape_Area
380;379;412780;7;Oscillating Hot Spot;41,666666666666671;50,000000000000000;2,262894088368347;0,023642218909070;2,000000000000000;267,450209902279198;11,701380762930000;37,153513031680397;22,287517491856601;6,483604924392489;19,503954124858602;183624,066184151160996;704063270,921022891998291
381;380;412785;7;Oscillating Hot Spot;16,666666666666664;25,000000000000000;0,617152933191367;0,537133860609483;0,000000000000000;270,843360955817957;19,161834584575701;24,794208072994198;22,570280079651496;1,572046536150188;22,581252304746052;185871,164048303035088;618364450,180217862129211
382;381;412788;0;No Pattern Detected;0,000000000000000;8,333333333333332;-0,205717644397122;0,837011475232843;0,000000000000000;296,820772521705294;16,260162601626000;41,047631347613702;24,735064376808776;7,528891080657916;22,281871428119949;168529,156228209205437;811259797,068161368370056
383;382;412790;6;Sporadic Hot Spot;41,666666666666671;0,000000000000000;1,440023510779857;0,149860747513055;0,000000000000000;324,881587114740171;17,048588477159900;36,225585091685801;27,073465592895015;6,132645961949009;25,471830660428150;154878,010966824804200;833915823,256572961807251
384;383;412795;0;No Pattern Detected;0,000000000000000;83,333333333333343;-1,714313703309354;0,086471127773228;-1,000000000000000;255,239359986616279;18,306837463638299;25,669079279582601;21,269946665551355;2,094853833028621;21,304257508469050;96592,242292662689579;362011247,235417723655701
385;384;412796;0;No Pattern Detected;8,333333333333332;16,666666666666664;1,165733318250361;0,243722304997819;0,000000000000000;298,746375226172745;13,396060374102101;44,315415646451498;24,895531268847730;8,546518904788115;22,440286878307599;284097,888548849557992;1140609783,771825075149536
386;385;412800;0;No Pattern Detected;0,000000000000000;50,000000000000000;1,714313703309354;0,086471127773228;1,000000000000000;229,054371920264288;10,959561092918699;30,198227881849999;19,087864326688692;6,143309924608463;18,408527370519099;199545,868451735499548;786316570,953181147575378
387;386;412810;6;Sporadic Hot Spot;58,333333333333336;0,000000000000000;3,771490147280579;0,000162275566481;3,000000000000000;357,029213214549770;21,894766108292199;43,267560223056797;29,752434434545815;6,764139057752922;29,576805207928849;291829,502816205029376;1468608046,432250738143921
388;387;412820;0;No Pattern Detected;16,666666666666664;25,000000000000000;1,028588221985612;0,303673229364477;0,000000000000000;288,829500466649506;15,793629902605900;34,862729309985902;24,069125038887460;6,297652124518720;24,179437770042952;201462,618486256047618;890704351,144908428192139
389;388;412830;7;Oscillating Hot Spot;25,000000000000000;33,333333333333329;1,851458799574103;0,064103576714211;1,000000000000000;293,004211308805793;20,397756246812900;28,257456828885399;24,417017609067148;2,657016258657295;24,425009330420650;60385,556852329398680;111764719,763207465410233
390;389;412840;1;New Hot Spot;8,333333333333332;66,666666666666657;0,754298029456116;0,450670291420359;0,000000000000000;260,275089898940905;14,213964621272000;33,348066985186499;21,689590824911743;5,752523235240649;20,000138142534148;99739,093931252587936;280930702,139965176582336
391;390;412850;7;Oscillating Hot Spot;33,333333333333329;50,000000000000000;2,125748992103599;0,033524165235725;2,000000000000000;228,590489186943785;8,298755186721991;28,371931116015102;19,049207432245314;6,032191875841843;20,250165795766200;122195,189076612354256;474630577,488584458827972
392;391;412853;7;Oscillating Hot Spot;33,333333333333329;16,666666666666664;2,537184280897844;0,011174811326935;2,000000000000000;270,942867498045530;11,205004902189600;29,694823083252800;22,578572291503793;4,889346941601368;22,785193073593000;244488,168973109539365;982371979,833654642105103
393;392;412855;0;No Pattern Detected;0,000000000000000;50,000000000000000;-1,988603895838851;0,046744941055475;-2,000000000000000;196,557393779772241;9,614705240696560;23,150827642088199;16,379782814981020;3,787341423795914;16,954193067076449;128759,725401399773546;397302559,456965208053589
394;393;412860;7;Oscillating Hot Spot;33,333333333333329;16,666666666666664;1,302878414515109;0,192616274331216;0,000000000000000;308,750749187722249;12,849261618329800;34,517314330252802;25,729229098976855;5,353190963666998;25,949548447122950;155416,003598717972636;384199707,349717855453491
395;394;412862;6;Sporadic Hot Spot;58,333333333333336;0,000000000000000;3,085764665956837;0,002030294435625;3,000000000000000;349,316085825899791;17,767536826535999;41,412404036986899;29,109673818824984;6,898632960123760;28,634142798817550;145955,492356857954292;1148800651,624498367309570
396;395;412863;0;No Pattern Detected;0,000000000000000;8,333333333333332;2,811474473427341;0,004931500366174;3,000000000000000;287,694779430046594;17,978997025443999;30,305929464514399;23,974564952503883;3,841967562811297;24,187854011425799;231872,807621835614555;938622048,574224710464478
397;396;412865;0;No Pattern Detected;0,000000000000000;58,333333333333336;3,908635243545327;0,000092818981339;3,000000000000000;233,656324900276701;3,934426229508200;40,077765121709596;19,471360408356393;8,463326706513817;20,375517979004698;194329,964019665028900;304545859,833602488040924
398;397;412870;0;No Pattern Detected;25,000000000000000;0,000000000000000;1,851458799574103;0,064103576714211;1,000000000000000;280,311182172838471;16,566265060241001;26,603001364256500;23,359265181069873;3,367926626467829;24,331102426341651;152468,051046658132691;382414041,326539158821106
399;398;412880;6;Sporadic Hot Spot;58,333333333333336;0,000000000000000;3,222909762221586;0,001268955228685;3,000000000000000;359,282680581638260;19,467646175272399;44,538205401734800;29,940223381803190;7,816913815139470;29,782900517706949;103008,714781011512969;428278257,319660961627960
