POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,tx_remedio10k,cob_esf,tx_apac_densito10k,tx_quedas_100k,taxa%_plano_idoso,tx%alfabet_2022
115,410790,FLORESTA,18.8667928,0.7657,41.99720019,1.0,0.0,608.5571429,0.008849557522,0.7399
116,410800,FLORESTOPOLIS,30.17919879,0.735,23.0285495,1.0,17.71426884,1300.128571,0.2149046794,0.8246
117,410810,FLORIDA,31.26046457,0.7262,126.607717,0.9964,0.0,599.9666667,0.9264990329,0.7755
118,410820,FORMOSA DO OESTE,19.84693947,0.7871,67.81475863,1.0,0.0,130.35,0.07100238663,0.6899
119,410830,FOZ DO IGUACU,25.03988927,0.7686,32.10617046,0.9618,131.2078793,354.9285714,0.001716579517,0.73
120,410832,FRANCISCO ALVES,33.15192789,0.6437,91.65496341,1.0,136.7432922,519.0714286,0.06950672646,0.7976
121,410840,FRANCISCO BELTRAO,30.3868723,0.8106,36.23297577,0.766,52.91822345,981.1428571,0.6201363249,0.8418
122,410845,FOZ DO JORDAO,16.59351717,0.6695,41.82290164,1.0,100.9518316,459.1857143,0.02453102453,0.7446
123,410850,GENERAL CARNEIRO,16.86734899,0.6868,18.3670541,0.8486,57.39704405,644.4,0.01772853186,0.6885
124,410855,GODOY MOREIRA,36.56741655,0.691,0.0,1.0,0.0,793.7833333,2.628851541,0.8449
125,410860,GOIOERE,22.08892057,0.7518,40.87453335,1.0,293.3883172,977.2428571,0.01322051824,0.7714
126,410865,GOIOXIM,21.51363727,0.695,99.49753744,1.0,44.77389185,700.3714286,0.002895752896,0.6
127,410870,GRANDES RIOS,27.6496792,0.6841,0.0,1.0,0.0,705.8571429,0.5173058934,0.762
128,410880,GUAIRA,31.55996898,0.7288,57.40679644,1.0,0.4713201678,842.9,0.001099908341,0.7145
129,410890,GUAIRACA,30.59347832,0.6946,3.32623736,1.0,19.95742416,984.9428571,0.02971137521,0.6581
130,410895,GUAMIRANGA,21.06729899,0.7377,22.73994937,1.0,0.0,411.7428571,0.566967954,0.7775
131,410900,GUAPIRAMA,28.034618,0.7479,0.0,1.0,19.07960009,453.08,0.09131736527,0.6573
132,410910,GUAPOREMA,24.57478736,0.733,151.3932007,1.0,396.6885133,674.4333333,0.04474272931,0.8301
133,410920,GUARACI,29.45857575,0.623,12.4769177,0.6357,14.97230124,1176.7,0.03162055336,0.7115
134,410930,GUARANIACU,20.67604707,0.7382,28.71205906,1.0,3.076292043,91.23333333,0.006276150628,0.6505
135,410940,GUARAPUAVA,19.9721579,0.7848,55.90578056,1.0,95.19814785,649.3,0.004110554338,0.7312
136,410950,GUARAQUECABA,19.45947507,0.579,0.0,1.0,0.0,440.7571429,0.1401869159,0.7722
137,410960,GUARATUBA,19.29200972,0.6883,16.64628614,1.0,36.29048164,436.3571429,0.5327917282,0.8573
138,410965,HONORIO SERPA,23.42180087,0.7268,34.50345035,1.0,24.00240024,397.4714286,0.02485207101,0.707
139,410970,IBAITI,38.71829667,0.7211,6.293457849,0.8966,22.83916155,592.3,0.1761904762,0.9089
140,410975,IBEMA,23.47753217,0.7455,43.32414336,1.0,4.923198109,282.95,0.03860640301,0.756
141,410980,IBIPORA,21.53036815,0.7714,8.602081597,1.0,20.83734051,1217.342857,0.02834213734,0.714
142,410990,ICARAIMA,34.31941624,0.6951,74.84335113,1.0,59.46855419,498.9714286,0.01292596945,0.6259
143,411000,IGUARACU,22.52294318,0.7876,53.7575625,1.0,0.0,1075.471429,2.717579251,0.8209
144,411005,IGUATU,24.72665156,0.7102,89.95672967,0.9118,5.693463903,238.1,0.1431767338,0.7018
145,411007,IMBAU,21.1928525,0.6345,20.33255015,1.0,9.036688957,776.2857143,0.07028942705,0.7529
146,411010,IMBITUVA,19.39643149,0.7521,62.92906178,1.0,1.906941266,412.2,0.006796116505,0.6988
147,411020,INACIO MARTINS,22.39356309,0.6514,47.72727273,1.0,0.0,451.8428571,0.01343283582,0.6442
148,411030,INAJA,24.86765827,0.7666,131.9952988,1.0,45.20386945,971.1857143,0.3303886926,0.8436
149,411040,INDIANOPOLIS,30.19561914,0.74,80.91051297,1.0,347.9152058,509.38,0.02676659529,0.7505
150,411050,IPIRANGA,26.197033,0.6612,28.44492151,1.0,6.708707903,195.7833333,0.01413612565,0.6843
151,411060,IPORA,37.58137446,0.7126,26.70292585,0.4606,83.54903181,628.4,0.01602878639,0.744
152,411065,IRACEMA DO OESTE,17.84935392,0.7384,62.36442516,1.0,0.0,#DIV/0!,0.2369565217,0.8392
153,411070,IRATI,24.6479862,0.7696,156.9080361,1.0,1.342930812,630.1142857,0.0173096976,0.7686
154,411080,IRETAMA,38.30387148,0.7429,23.07732199,0.9367,167.2457605,908.9285714,0.004624871531,0.683
155,411090,ITAGUAJE,21.60286643,0.7225,0.0,1.0,0.0,1049.957143,0.9526774595,0.8963
156,411095,ITAIPULANDIA,22.62463358,0.8323,251.7725753,1.0,343.812709,245.0714286,0.02372881356,0.6345
157,411100,ITAMBARACA,21.22780884,0.6998,18.08187473,1.0,1.808187473,956.3,0.03909026297,0.8659
158,411110,ITAMBE,24.96573163,0.7207,119.8360139,0.7315,0.0,746.5142857,0.03283052351,0.789
159,411120,ITAPEJARA D'OESTE,25.50773966,0.7761,18.66847129,1.0,74.67388514,662.1142857,0.06149012567,0.6871
160,411125,ITAPERUCU,20.88349208,0.5851,3.568737856,1.0,28.74816607,256.5333333,0.1227938415,0.7486
