POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,ind_env%,tx_alf_5564,tx_alf_ac65,e2sfca_densito,tx_remedio10k,tx_consultas10k,ativcolet,cob_esf,tx_apac_densito10k,tx_cob_plano
319,412310,SANTA AMELIA,24.4825998351542,0.6393,0.8202,0.8909,0.7864,0.311159014701843,55.8659217877095,0.0,0.0,1.0,0.0,9.8
320,412320,SANTA CECILIA DO PAVAO,16.5698653639963,0.6506,0.8452,0.7971,0.6412,0.0790648981928825,34.7222222222222,0.0,98.0555555555556,1.0,7.30994152046784,7.6
321,412330,SANTA CRUZ DE MONTE CASTELO,31.316383464058,0.6753,0.7079,0.9023,0.7142,0.0132528003305197,64.7101117720112,13.0727498529316,0.0,0.9012,6.53637492646578,7.1
322,412340,SANTA FE,29.858906862985,0.7785,0.8063,0.9147,0.7945,0.376060992479324,177.955707773124,0.0,2.0,1.0,0.0,18.6
323,412350,SANTA HELENA,16.8256015850951,0.7776,0.6511,0.9184,0.8413,0.315248996019363,51.885624690543,19.8052483908236,29.9636363636364,1.0,0.0,5.6
324,412360,SANTA INES,21.8721598315707,0.6962,0.8893,0.8833,0.7811,0.19098100066185,100.891205649908,0.0,0.0,1.0,0.0,18.9
325,412370,SANTA ISABEL DO IVAI,31.4652720676157,0.6842,0.8159,0.9045,0.7812,0.030349999666214,39.7598398932622,0.0,0.0,1.0,42.6951300867245,7.5
326,412380,SANTA IZABEL DO OESTE,28.4595510199329,0.7679,0.6638,0.914,0.8175,0.26672101020813,10.0130169219986,0.0,59.1894736842105,1.0,22.0286372283969,7.1
327,412382,SANTA LUCIA,22.4852646220001,0.7082,0.8071,0.891,0.8278,0.304383009672165,104.120930816032,135.900813314098,0.0,1.0,3.13617261494073,2.6
328,412385,SANTA MARIA DO OESTE,26.474093892425,0.6219,0.593,0.8491,0.6994,0.520015001296997,17.3374076241251,0.0,0.0,1.0,1.62538196476172,1.0
329,412390,SANTA MARIANA,23.0036997395525,0.7045,0.9891,0.8813,0.7301,0.363101005554199,29.9091647588804,0.0,2.84,1.0,0.923122369101248,8.1
330,412395,SANTA MONICA,29.6126318257618,0.6234,0.6064,0.8602,0.6628,0.0488387010991573,54.1651101979828,0.0,0.0,1.0,102.726933134105,5.1
331,412400,SANTANA DO ITARARE,23.6353766306851,0.7204,0.7258,0.7852,0.6829,0.0781347006559372,24.6764641368721,24.6764641368721,12.5,1.0,10.9673173941654,2.3
332,412402,SANTA TEREZA DO OESTE,21.1310975742254,0.7572,0.412,0.9139,0.7557,0.551882982254028,134.333958724203,54.8780487804878,0.0,0.8362,5.62851782363977,9.8
333,412405,SANTA TEREZINHA DE ITAIPU,25.0971848404755,0.7086,0.5799,0.9252,0.8156,0.947718024253845,86.9794760113509,8.57915924239425,66.4074074074074,1.0,6.59935326338019,8.0
334,412410,SANTO ANTONIO DA PLATINA,27.6580713603979,0.6661,0.6401,0.9032,0.7879,1.14113998413086,8.63440127243808,0.324601551595417,12.8,1.0,33.7585613659233,10.7
335,412420,SANTO ANTONIO DO CAIUA,26.6091698781907,0.6876,0.867,0.8685,0.6455,0.226907998323441,32.439446366782,0.0,0.0,1.0,62.475970780469,2.6
336,412430,SANTO ANTONIO DO PARAISO,14.6538646504419,0.6445,0.9621,0.8442,0.6848,0.107583001255989,0.0,0.0,0.0,0.8048,0.0,2.1
337,412440,SANTO ANTONIO DO SUDOESTE,25.7745952325949,0.7633,0.5924,0.8659,0.7444,0.055535301566124,14.8274292760985,8.80837382738524,112.75,1.0,30.8293083958483,3.3
338,412450,SANTO INACIO,23.3482256263467,0.8075,0.5654,0.9021,0.8054,0.234062001109123,28.247053071867,0.0,0.0,1.0,0.0,10.4
339,412460,SAO CARLOS DO IVAI,26.3355147971414,0.7638,0.6186,0.8764,0.7377,0.39970600605011,59.1635188640604,0.0,0.0,1.0,22.7551995631002,10.4
340,412470,SAO JERONIMO DA SERRA,17.5001622751819,0.5901,0.6152,0.7566,0.634,0.0357723012566566,0.0,0.0,0.0,1.0,1.33886731824876,4.0
